date,open,high,low,close,volume
2010-10-25,4894.8500,4998.8900,4894.8100,4998.5000,8102924800
2010-10-26,5010.0200,5046.6500,4983.8400,5046.1500,8913848800
2010-10-27,5046.2100,5088.8500,4976.7100,4994.7700,8049168000
2010-10-28,4978.5400,5020.0700,4952.7100,4999.5900,6178162000
2010-10-29,5005.6600,5068.7000,4992.8100,5055.4900,6547187600
2010-11-01,5072.7600,5199.8100,5072.7600,5199.5200,8523837600
2010-11-02,5211.4700,5272.4500,5171.5000,5173.0700,9686436800
2010-11-03,5165.9100,5197.9600,5096.4600,5098.5400,7631712000
2010-11-04,5104.7700,5228.9200,5104.7700,5228.3000,7612600800
2010-11-05,5274.5700,5313.4800,5244.3800,5311.7700,8950491200
2010-11-08,5338.5100,5431.3900,5330.5100,5431.0900,9507648800
2010-11-09,5435.3600,5468.3600,5398.7000,5467.8400,9270058400
2010-11-10,5459.4000,5504.8800,5432.6300,5484.7400,8859264000
2010-11-11,5462.7600,5581.3500,5440.1000,5440.1000,9877328000
2010-11-12,5411.8700,5445.7100,5094.8000,5111.1900,10514325600
2010-11-15,5117.1600,5255.8500,5083.8500,5255.2700,6785033600
2010-11-16,5259.5100,5288.9700,5017.2500,5068.4600,7836215200
2010-11-17,4989.8000,5039.0900,4830.5100,4855.8500,5430788800
2010-11-18,4885.9100,4941.2000,4814.4200,4932.4000,4202450400
2010-11-19,4959.0600,5081.0300,4919.2800,5081.0300,5421057600
2010-11-22,5049.4600,5190.6100,5036.3200,5150.6700,6086765200
2010-11-23,5129.3700,5129.3700,4970.4900,5063.2400,5377227600
2010-11-24,5022.1300,5206.4200,5017.9300,5206.1500,5408620000
2010-11-25,5228.2700,5278.3200,5226.9800,5259.8100,6078655600
2010-11-26,5255.2600,5256.4000,5169.0300,5227.6500,5407235200
2010-11-29,5214.4500,5273.7900,5180.6600,5248.7500,5007100000
2010-11-30,5238.5000,5257.1000,4960.7100,5110.8800,6460012400
2010-12-01,5090.4000,5139.9600,5071.3500,5116.8400,4082123600
2010-12-02,5175.2600,5192.6300,5135.6700,5138.4900,4774671600
2010-12-03,5135.8300,5145.8100,5052.4300,5100.3700,3763797600
2010-12-06,5103.8600,5114.0700,4989.2800,5016.5300,3413568000
2010-12-07,4999.5900,5088.7500,4931.8800,5084.5800,3368159600
2010-12-08,5077.5500,5133.2500,5059.5800,5069.9700,3301617800
2010-12-09,5047.0400,5047.0400,4964.2500,4964.9000,3503606800
2010-12-10,4944.9300,5045.9500,4935.2800,5039.1700,3041252800
2010-12-13,5063.0100,5179.5200,5063.0100,5179.0200,4556354800
2010-12-14,5194.9400,5244.5300,5181.2000,5244.0400,4936328400
2010-12-15,5244.8000,5276.1400,5211.7000,5230.6800,4679572400
2010-12-16,5219.0800,5250.3900,5200.8800,5216.8500,3552044000
2010-12-17,5212.1400,5230.3300,5187.4000,5228.3400,3041214400
2010-12-20,5246.4200,5264.2100,5043.6600,5163.5300,4558775600
2010-12-21,5166.3400,5223.4000,5123.2700,5222.7900,4038840800
2010-12-22,5225.7700,5226.1800,5157.3200,5174.5400,4077913600
2010-12-23,5161.2600,5170.1800,5060.5300,5069.5200,3460813600
2010-12-24,5046.9400,5046.9400,4947.2200,4991.5400,3095078600
2010-12-27,4993.3800,5048.6000,4832.5300,4849.6300,3415533600
2010-12-28,4820.8200,4827.3500,4700.5600,4730.5000,2955424800
2010-12-29,4730.6300,4813.2400,4723.2900,4812.5300,2147683600
2010-12-30,4810.4400,4846.6500,4777.8400,4828.4900,2353224000
2010-12-31,4833.8900,4936.7200,4833.8900,4936.7200,2765461400
2011-01-04,4964.2100,5012.0600,4938.9400,5011.5000,3699564400
2011-01-05,4989.1100,5038.8700,4964.8700,5028.7700,3475221600
2011-01-06,5026.3300,5047.2600,4992.1700,5001.2800,3123874400
2011-01-07,4990.7000,5028.2700,4945.7800,4975.1400,3499623200
2011-01-10,4966.5600,4970.4200,4816.5800,4830.5600,3113786200
2011-01-11,4811.1600,4815.5000,4747.4900,4804.8200,2750608800
2011-01-12,4813.4800,4846.9500,4764.4700,4833.5800,2691439800
2011-01-13,4851.6800,4859.5300,4810.9000,4826.7600,2544377200
2011-01-14,4816.6600,4816.6600,4719.1500,4723.4300,2781177400
2011-01-17,4690.8800,4691.5700,4507.5700,4519.9100,3067751000
2011-01-18,4502.0600,4550.2900,4483.5000,4536.9600,1944286600
2011-01-19,4538.9900,4646.0900,4530.6100,4646.0900,2436093800
2011-01-20,4637.7700,4637.7700,4476.5600,4477.3600,2865246400
2011-01-21,4459.9900,4549.5900,4445.2300,4506.3200,2709504200
2011-01-24,4506.6100,4521.1300,4397.0200,4398.5000,2522068200
2011-01-25,4390.1600,4392.2100,4307.9100,4341.9100,2133616800
2011-01-26,4339.8600,4426.2500,4339.8600,4424.8900,1974312400
2011-01-27,4397.9300,4514.4300,4369.8700,4502.8100,2796481600
2011-01-28,4497.8300,4559.3600,4493.8400,4548.2100,2581766400
2011-01-31,4544.3300,4611.0000,4536.1900,4610.8600,2640632200
2011-02-01,4612.4000,4638.6100,4604.9100,4630.5800,2394669600
2011-02-09,4597.5400,4654.5900,4584.9000,4609.7200,2754208400
2011-02-10,4604.8400,4734.0600,4602.3300,4733.9700,3457824800
2011-02-11,4736.2700,4803.1000,4729.3900,4786.8100,3991598400
2011-02-14,4792.8500,4884.9900,4792.8500,4872.5000,4781513200
2011-02-15,4878.6800,4932.3300,4862.7700,4869.6900,5155704000
2011-02-16,4860.8900,4952.9500,4855.9500,4952.6700,4467136800
2011-02-17,4962.1300,4990.7500,4917.9500,4987.4800,5044532800
2011-02-18,4977.2200,4984.1800,4915.6700,4941.4300,4290672000
2011-02-21,4911.8100,5043.2500,4905.3600,5042.9700,4737022000
2011-02-22,5052.3600,5058.7500,4908.2500,4909.7500,5738196000
2011-02-23,4891.2500,4983.2300,4891.2500,4979.0600,4483006400
2011-02-24,4976.3400,5033.1000,4963.7600,5027.7300,5009068400
2011-02-25,5019.5000,5039.7900,4964.3500,5032.8000,4445544800
2011-02-28,5040.2200,5095.5700,5007.6500,5095.2100,5124278800
2011-03-01,5099.7000,5143.7700,5082.0400,5122.4400,5779841600
2011-03-02,5099.4800,5120.4100,5024.8600,5108.7400,5314279200
2011-03-03,5106.3900,5124.6100,5000.5400,5009.0500,5171038800
2011-03-04,5005.5600,5067.9200,4989.6500,5067.6200,4255960400
2011-03-07,5085.4600,5138.6500,5085.4600,5138.2500,5747858800
2011-03-08,5135.3600,5166.3600,5113.0900,5165.7300,5314008000
2011-03-09,5168.1300,5186.0300,5147.8700,5181.3700,5114619600
2011-03-10,5174.0300,5174.0300,5139.7800,5143.4100,5231988800
2011-03-11,5118.0700,5200.7000,5113.4800,5139.7500,5171933600
2011-03-14,5127.1400,5190.7300,5111.0100,5190.0400,5341013200
2011-03-15,5178.0900,5178.0900,5016.8800,5131.3300,6333606400
2011-03-16,5122.2700,5200.0600,5119.1900,5199.3600,5556132000
2011-03-17,5151.6400,5185.4200,5080.5300,5104.1300,5674077600
2011-03-18,5133.7700,5160.8000,5105.0600,5126.9300,4267683200
2011-03-21,5120.6700,5130.9300,5062.7900,5086.1100,4191967600
2011-03-22,5093.4100,5102.4300,5020.7500,5085.8100,3910700000
2011-03-23,5084.7700,5155.5900,5076.7200,5155.3400,4637356000
2011-03-24,5159.2000,5185.5000,5149.6600,5169.2600,4899669200
2011-03-25,5164.8200,5218.0600,5164.7800,5212.3500,5857739600
2011-03-28,5223.0700,5231.7300,5187.4500,5199.5500,6912303200
2011-03-29,5185.6800,5191.5400,5105.0300,5111.1500,7033332800
2011-03-30,5101.1100,5117.2200,5036.2900,5064.5400,5362860000
2011-03-31,5065.1200,5079.2300,4985.0200,5000.4000,4579340400
2011-04-01,4999.7600,5065.0800,4991.7900,5065.0800,3911730400
2011-04-06,5046.9000,5070.3400,5019.4900,5057.8400,4571476000
2011-04-07,5056.0900,5090.0200,5045.1900,5089.7500,4496888800
2011-04-08,5087.3100,5149.0500,5079.6500,5148.8000,4537160400
2011-04-11,5157.0700,5162.4900,5102.7100,5107.1400,5261755200
2011-04-12,5096.5700,5139.0300,5083.3900,5114.4600,5271436400
2011-04-13,5098.6400,5165.4900,5069.3900,5165.2100,4887132800
2011-04-14,5162.3100,5175.2400,5140.0000,5150.8700,4891312000
2011-04-15,5143.3000,5162.4200,5103.0900,5162.4200,5279411200
2011-04-18,5149.3400,5179.4500,5140.4100,5178.8900,5646023200
2011-04-19,5149.6600,5153.5600,5095.6000,5116.1400,6401797600
2011-04-20,5116.1100,5154.7400,5116.1100,5152.4000,5087671600
2011-04-21,5169.6200,5191.0100,5159.9600,5188.1100,5383070800
2011-04-22,5187.7600,5193.2100,5150.4200,5165.1200,5498767200
2011-04-25,5152.0700,5152.0700,5054.7700,5054.7700,5011404400
2011-04-26,5033.7900,5047.3400,4943.0600,4970.5700,3925772000
2011-04-27,4977.9500,5003.8600,4872.5100,4913.5000,4112825600
2011-04-28,4920.9400,4937.1100,4752.4100,4755.4200,4077560000
2011-04-29,4749.5300,4837.0000,4738.4500,4836.8700,3011031000
2011-05-03,4836.8600,4920.7100,4816.0200,4920.5700,3546053600
2011-05-04,4900.4400,4900.4400,4798.4100,4814.7800,4062791600
2011-05-05,4792.1300,4842.3700,4784.7000,4827.2100,3470003200
